snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2006/02/22 23:00:00,2006-02-22T16:00:00,"{'bid': 11910.0, 'ask': 11910.0, 'lastTraded': None}","{'bid': 11921.0, 'ask': 11921.0, 'lastTraded': None}","{'bid': 11971.0, 'ask': 11971.0, 'lastTraded': None}","{'bid': 11888.0, 'ask': 11888.0, 'lastTraded': None}",0
2006/02/23 23:00:00,2006-02-23T16:00:00,"{'bid': 11921.0, 'ask': 11921.0, 'lastTraded': None}","{'bid': 11871.0, 'ask': 11871.0, 'lastTraded': None}","{'bid': 11934.0, 'ask': 11934.0, 'lastTraded': None}","{'bid': 11861.0, 'ask': 11861.0, 'lastTraded': None}",0
2006/02/26 23:00:00,2006-02-26T16:00:00,"{'bid': 11871.0, 'ask': 11871.0, 'lastTraded': None}","{'bid': 11846.0, 'ask': 11846.0, 'lastTraded': None}","{'bid': 11879.0, 'ask': 11879.0, 'lastTraded': None}","{'bid': 11823.0, 'ask': 11823.0, 'lastTraded': None}",0
2006/02/27 23:00:00,2006-02-27T16:00:00,"{'bid': 11846.0, 'ask': 11846.0, 'lastTraded': None}","{'bid': 11886.5, 'ask': 11886.5, 'lastTraded': None}","{'bid': 11941.0, 'ask': 11941.0, 'lastTraded': None}","{'bid': 11832.0, 'ask': 11832.0, 'lastTraded': None}",0
2006/02/28 23:00:00,2006-02-28T16:00:00,"{'bid': 11920.0, 'ask': 11920.0, 'lastTraded': None}","{'bid': 11916.0, 'ask': 11916.0, 'lastTraded': None}","{'bid': 11974.0, 'ask': 11974.0, 'lastTraded': None}","{'bid': 11889.0, 'ask': 11889.0, 'lastTraded': None}",0
2006/03/01 23:00:00,2006-03-01T16:00:00,"{'bid': 11916.0, 'ask': 11916.0, 'lastTraded': None}","{'bid': 12037.0, 'ask': 12037.0, 'lastTraded': None}","{'bid': 12045.0, 'ask': 12045.0, 'lastTraded': None}","{'bid': 11910.0, 'ask': 11910.0, 'lastTraded': None}",0
2006/03/02 23:00:00,2006-03-02T16:00:00,"{'bid': 12037.0, 'ask': 12037.0, 'lastTraded': None}","{'bid': 12048.0, 'ask': 12048.0, 'lastTraded': None}","{'bid': 12052.0, 'ask': 12052.0, 'lastTraded': None}","{'bid': 11992.0, 'ask': 11992.0, 'lastTraded': None}",0
2006/03/05 23:00:00,2006-03-05T16:00:00,"{'bid': 12048.0, 'ask': 12048.0, 'lastTraded': None}","{'bid': 12017.0, 'ask': 12017.0, 'lastTraded': None}","{'bid': 12093.0, 'ask': 12093.0, 'lastTraded': None}","{'bid': 11988.0, 'ask': 11988.0, 'lastTraded': None}",0
2006/03/06 23:00:00,2006-03-06T16:00:00,"{'bid': 12017.0, 'ask': 12017.0, 'lastTraded': None}","{'bid': 11885.0, 'ask': 11885.0, 'lastTraded': None}","{'bid': 12022.0, 'ask': 12022.0, 'lastTraded': None}","{'bid': 11866.0, 'ask': 11866.0, 'lastTraded': None}",0
2006/03/07 23:00:00,2006-03-07T16:00:00,"{'bid': 11885.0, 'ask': 11885.0, 'lastTraded': None}","{'bid': 11923.0, 'ask': 11923.0, 'lastTraded': None}","{'bid': 11940.0, 'ask': 11940.0, 'lastTraded': None}","{'bid': 11869.0, 'ask': 11869.0, 'lastTraded': None}",0
2006/03/08 23:00:00,2006-03-08T16:00:00,"{'bid': 11923.0, 'ask': 11923.0, 'lastTraded': None}","{'bid': 11911.0, 'ask': 11911.0, 'lastTraded': None}","{'bid': 11953.0, 'ask': 11953.0, 'lastTraded': None}","{'bid': 11900.0, 'ask': 11900.0, 'lastTraded': None}",0
2006/03/09 23:00:00,2006-03-09T16:00:00,"{'bid': 11911.0, 'ask': 11911.0, 'lastTraded': None}","{'bid': 11914.0, 'ask': 11914.0, 'lastTraded': None}","{'bid': 11933.0, 'ask': 11933.0, 'lastTraded': None}","{'bid': 11858.0, 'ask': 11858.0, 'lastTraded': None}",0
2006/03/12 23:00:00,2006-03-12T16:00:00,"{'bid': 11914.0, 'ask': 11914.0, 'lastTraded': None}","{'bid': 11959.0, 'ask': 11959.0, 'lastTraded': None}","{'bid': 11970.0, 'ask': 11970.0, 'lastTraded': None}","{'bid': 11908.0, 'ask': 11908.0, 'lastTraded': None}",0
2006/03/13 23:00:00,2006-03-13T16:00:00,"{'bid': 11959.0, 'ask': 11959.0, 'lastTraded': None}","{'bid': 12011.0, 'ask': 12011.0, 'lastTraded': None}","{'bid': 12032.0, 'ask': 12032.0, 'lastTraded': None}","{'bid': 11935.0, 'ask': 11935.0, 'lastTraded': None}",0
2006/03/14 23:00:00,2006-03-14T16:00:00,"{'bid': 12011.0, 'ask': 12011.0, 'lastTraded': None}","{'bid': 12068.0, 'ask': 12068.0, 'lastTraded': None}","{'bid': 12074.0, 'ask': 12074.0, 'lastTraded': None}","{'bid': 12003.0, 'ask': 12003.0, 'lastTraded': None}",0
2006/03/15 23:00:00,2006-03-15T16:00:00,"{'bid': 12068.0, 'ask': 12068.0, 'lastTraded': None}","{'bid': 12175.0, 'ask': 12175.0, 'lastTraded': None}","{'bid': 12189.0, 'ask': 12189.0, 'lastTraded': None}","{'bid': 12032.0, 'ask': 12032.0, 'lastTraded': None}",0
2006/03/16 23:00:00,2006-03-16T16:00:00,"{'bid': 12175.0, 'ask': 12175.0, 'lastTraded': None}","{'bid': 12183.0, 'ask': 12183.0, 'lastTraded': None}","{'bid': 12207.0, 'ask': 12207.0, 'lastTraded': None}","{'bid': 12138.0, 'ask': 12138.0, 'lastTraded': None}",0
