datetime,datetimeUTC,open,close,high,low,volumn
2011/01/31 23:00:00,2011-01-31T16:00:00,1.37081,1.37917,1.379535,1.366365,130965
2011/02/01 23:00:00,2011-02-01T16:00:00,1.37918,1.38114,1.38619,1.37779,121688
2011/02/02 23:00:00,2011-02-02T16:00:00,1.38112,1.36293,1.38258,1.36168,122464
2011/02/03 23:00:00,2011-02-03T16:00:00,1.3629,1.35527,1.367845,1.35437,108546
2011/02/04 23:00:00,2011-02-04T16:00:00,1.35529,1.35818,1.359865,1.354455,24918
2011/02/06 23:00:00,2011-02-06T16:00:00,1.35549,1.35428,1.36266,1.350825,88759
2011/02/07 23:00:00,2011-02-07T16:00:00,1.35427,1.36717,1.36757,1.353915,150808
2011/02/08 23:00:00,2011-02-08T16:00:00,1.36716,1.37066,1.3721,1.361105,164924
2011/02/09 23:00:00,2011-02-09T16:00:00,1.37069,1.35999,1.374425,1.35773,160232
2011/02/10 23:00:00,2011-02-10T16:00:00,1.36,1.35507,1.363865,1.35057,153527
2011/02/11 23:00:00,2011-02-11T16:00:00,1.35508,1.35529,1.35721,1.34975,29918
2011/02/13 23:00:00,2011-02-13T16:00:00,1.35085,1.34611,1.355875,1.34283,111739
2011/02/14 23:00:00,2011-02-14T16:00:00,1.34609,1.35132,1.35508,1.34593,153052
2011/02/15 23:00:00,2011-02-15T16:00:00,1.3514,1.3517,1.35706,1.346225,149130
2011/02/16 23:00:00,2011-02-16T16:00:00,1.35166,1.35779,1.36147,1.350705,164204
2011/02/17 23:00:00,2011-02-17T16:00:00,1.3578,1.36375,1.364645,1.354525,148293
2011/02/18 23:00:00,2011-02-18T16:00:00,1.36376,1.36934,1.37154,1.362585,31584
2011/02/20 23:00:00,2011-02-20T16:00:00,1.37049,1.3671,1.371595,1.36474,68618
2011/02/21 23:00:00,2011-02-21T16:00:00,1.36706,1.36954,1.37035,1.35255,137301
2011/02/22 23:00:00,2011-02-22T16:00:00,1.36953,1.37631,1.37869,1.363545,120434
2011/02/23 23:00:00,2011-02-23T16:00:00,1.37634,1.37926,1.38209,1.37041,108698
2011/02/24 23:00:00,2011-02-24T16:00:00,1.37926,1.37486,1.38383,1.372405,96918
2011/02/25 23:00:00,2011-02-25T16:00:00,1.37484,1.37538,1.376645,1.37368,16099
2011/02/27 23:00:00,2011-02-27T16:00:00,1.37576,1.38128,1.3856,1.37113,75463
2011/02/28 23:00:00,2011-02-28T16:00:00,1.38132,1.38304,1.38545,1.378095,108030
2011/03/01 23:00:00,2011-03-01T16:00:00,1.38303,1.38794,1.389045,1.37433,112657
2011/03/02 23:00:00,2011-03-02T16:00:00,1.38795,1.394,1.39756,1.3833,103536
2011/03/03 23:00:00,2011-03-03T16:00:00,1.39399,1.39895,1.400685,1.39295,93009
2011/03/04 23:00:00,2011-03-04T16:00:00,1.39895,1.39871,1.39946,1.39592,21492
2011/03/06 23:00:00,2011-03-06T16:00:00,1.39848,1.40144,1.40363,1.39557,60163
2011/03/07 23:00:00,2011-03-07T16:00:00,1.40143,1.38994,1.401465,1.386225,80670
2011/03/08 23:00:00,2011-03-08T16:00:00,1.38995,1.39214,1.39418,1.38558,72103
2011/03/09 23:00:00,2011-03-09T16:00:00,1.39215,1.37987,1.392675,1.379135,87601
2011/03/10 23:00:00,2011-03-10T16:00:00,1.37986,1.38402,1.384505,1.37523,91251
2011/03/11 23:00:00,2011-03-11T16:00:00,1.38401,1.39032,1.391545,1.382845,20043
2011/03/13 23:00:00,2011-03-13T16:00:00,1.39667,1.39743,1.398105,1.390485,79401
2011/03/14 23:00:00,2011-03-14T16:00:00,1.39744,1.39672,1.400355,1.385555,109064
2011/03/15 23:00:00,2011-03-15T16:00:00,1.39675,1.39219,1.40131,1.38997,107490
2011/03/16 23:00:00,2011-03-16T16:00:00,1.39221,1.40202,1.4053,1.38668,141147
2011/03/17 23:00:00,2011-03-17T16:00:00,1.40201,1.41398,1.414565,1.39804,121188
2011/03/18 23:00:00,2011-03-18T16:00:00,1.41401,1.41824,1.41846,1.41372,15188
2011/03/20 23:00:00,2011-03-20T16:00:00,1.4196,1.41835,1.420335,1.41392,61177
2011/03/21 23:00:00,2011-03-21T16:00:00,1.41836,1.42115,1.424865,1.41798,86596
2011/03/22 23:00:00,2011-03-22T16:00:00,1.42114,1.41232,1.42183,1.41051,85444
2011/03/23 23:00:00,2011-03-23T16:00:00,1.41228,1.41994,1.42103,1.40537,93231
2011/03/24 23:00:00,2011-03-24T16:00:00,1.41996,1.41434,1.42203,1.411115,81475
2011/03/25 23:00:00,2011-03-25T16:00:00,1.41431,1.40884,1.414385,1.405545,18218
2011/03/28 00:00:00,2011-03-27T16:00:00,1.4025,1.41038,1.411595,1.402115,62743
2011/03/29 00:00:00,2011-03-28T16:00:00,1.41036,1.40895,1.414915,1.404705,76807
2011/03/30 00:00:00,2011-03-29T16:00:00,1.40895,1.40943,1.412775,1.405215,85147
